Title,Author,Genre,Notes
Dark Matter (Paver),"Paver, Michelle",Horror,"British boy goes on an expedition to Svalbard, meets a ghosty friend"
We are Satelites,"Pinsker, Sara",Science Fiction,"Everyone and their kids gets a chip in their head, but maaaaybe it's not a good idea??"
Zen and the Art of Motorcycle Maintenance,"Pirsig, Robert",Nonfiction,Chautauqua on Quality and also the guy's son Chris
The Bell Jar,"Plath, Sylvia",Autobiography,Esther Greenwood is one of the best female protagonists ever written
Bel Canto,"Pratchett, Anne",Romance,Best case of Stockholm Syndrome you'll have all year
Commonwealth,"Pratchett, Anne",Literature,Authors writing about authors is narscisistic af
The Amber Spyglass,"Pullman, Phillip",Fantasy,"Wonderful fantasy series about the hubris of man and giant, armored polar bears. Great social commentary"
The Golden Compass,"Pullman, Phillip",Fantasy,"Wonderful fantasy series about the hubris of man and giant, armored polar bears. Great social commentary"
The Subtle Knife,"Pullman, Phillip",Fantasy,"Wonderful fantasy series about the hubris of man and giant, armored polar bears. Great social commentary"
Atlas Shrugged,"Rand, Ayn",Literature,Interesting read about how great capitalism is and how much socialism sucks for the rich
The Employees,"Ravn, Olga",Science Fiction,HR interviews human (and neo-human) employees about alient objects
Starting Strength,"Rippetoe, Mark",Nonfiction,101 on barbell training
The Calculating Stars,"Robinette, Mary Kowal",Science Fiction,"Due to meteor impact in the 1950's, humans need to leave Earth ASAP"
Green Mars,"Robinson, Kim Stanley",Science Fiction,"Mid-year mars settlement and terraforming, space communism. Hiroko is my problematic fave"
Red Mars,"Robinson, Kim Stanley",Science Fiction,Humans colonize mars & their early settlements up to a failed violent revolution
The Ministry for the future,"Robinson, Kim Stanley",Science Fiction,UN like agency tries to save the world from climate change after a heat wave disaster in India
Carve the Mark,"Roth, Veronica",Teen Trash,"If the main character lovers turn out to be brother-sister, it's basically Star Wars"
The Name of The Wind,"Rothfuss, Patrick",Fantasy,Mary Sue Harry Potter
The God of Small Things,"Roy, Arundhati",Literature,Child Abuse Warning
The Happiness Project,"Rubin, Gretchen",Nonfiction,Story of one author's quest to be happier over a year
The Sparrow,"Russell, Mary Doria",Science Fiction,How far will God go to punish the faithful? Jesuits are the first to make contact with Aliens
How to Argue With a Racist,"Rutherford, Adam",Nonfiction,Tip: Find common ground and work from there
Madhouse at the End of the Earth,"Sancton, Julian",Nonfiction,The Belgica did the first antarctic wintering and it drove everybody mad
Dawnshard,"Sanderson, Brandon",Fantasy,Rysn and her pet go on a sailing adventure
Edgedancer,"Sanderson, Brandon",Fantasy,Lift and Herald Nalan face off over an orphanage
Mistborn: The Final Empire,"Sanderson, Brandon",Fantasy,"Good worldbuilding and magics. MC is a bit of a Mary Sue, but the story is good nontheless"
Oathbringer,"Sanderson, Brandon",Fantasy,"Dalinar comes into his own as Bondsmith; Kaladin matures, Shallan has an identity crisis, Jasneh is badass"
Rhythm of War,"Sanderson, Brandon",Fantasy,Uritheriu gets invaded! Shallan and Adolin stuck in Shadesmar
The Hero of Ages,"Sanderson, Brandon",Fantasy,"Good worldbuilding and magics. MC is a bit of a Mary Sue, but the story is good nontheless"
The Way of Kings,"Sanderson, Brandon",Fantasy,"Sword of the rings, book 1: Shardswords and shardplates fuuuuuuck I want more"
The Well of Ascension,"Sanderson, Brandon",Fantasy,"Good worldbuilding and magics. MC is a bit of a Mary Sue, but the story is good nontheless"
Wind and Truth,"Sanderson, Brandon",Fantasy,"The thrilling finale, Kaladin and Szeth buddy cop movie, Dalainar stars in a clip show"
Words of Radiance,"Sanderson, Brandon",Fantasy,"The parshendi awaken, Kaladin gets over his ego, Shallan comes into her powers, Dalinar embraces the knights radiant"
The Witcher Heptogy,"Sapkowski, Andrzej",Fantasy,Geralt and Ciri adventures! Featuring Yennifer and other people with strange names
Blindness,"Saramago, Jose",Literature,"A plague of blindness sweeps the world, then passes"
Lincoln in the Bardo,"Saunderson, George",Literature,"Short, quaint read. Rather philosophical and intimate"
Zero Zero Zero,"Saviano, Robert",Nonfiction,Cocaine is a worldwide industry and capitalism's #1 problematic fave
Lock In,"Scalzi, John",Science Fiction,Mystery thriller about human vegetables that control robots
Starter Villain,"Scalzi, John",Thriller,Charlie takes over his uncle's secret volcano lair (and evil plots) to become a temporary villian
"Like Switch: an ex-FBI Agent's Guide to Influencing, Attracting, and Winning People Over","Schafer, Jack and Karlins, Marvin",Nonfiction,"Possible a worse title than Carnagie. Great advice, love the eyebrow twitch"
The Lovely Bones,"Sebold, Alice",Literature,Fun little read about how the world will carry on without you. Child abuse warning.
The Killer Angels,"Shaara, Michael",Historical Fiction,"The battle of Gettysburg, told well with many perspectives from all sides"
The Digital Ape,"Shadbolt, Nigel",Nonfiction,How to reconcile technology with human biology
Is there no place on earth for me?,"Sheehan, Susan",Nonfiction,"Life of Sylvia Frumpkin, a schizophrenic in the New York mental health system in the 1970's and 80's"
Designing Bots,"Shevat, Amir",Nonfiction,Technical work crap
I Remember You,"Sigurdardottir, Yrsa",Horror,In Iceland a little ghost boy wants to be reunited with his parents
Endymion,"Simmons, Dan",Science Fiction,I don't even remember what happened in this one TBH
Fall of Hyperion,"Simmons, Dan",Science Fiction,Space Canterbury tales pt 2: electric Boogaloo. Getting back to normal SF series
Hyperion,"Simmons, Dan",Science Fiction,Space Canterbury tales
The Terror,"Simmons, Dan",Horror,"Horrifying at times but not scary. Ship stuck in the arctic, hunted by some creature"
A Tree Grows in Brooklyn,"Smith, Betty",Literature,Francie is a poor Irish girl who reads too much. Story of a poor Brooklyn family at turn of the century
This Weightless World,"Soto, Adam",Literature,An ensemble of characters are affected differntly by first contact
And I don't want to live this life anymore,"Spungen, Deborah",Nonfiction,"A memior about her daughter, who was killed in a very high-profile murder in the 90's"
Station Eleven,"St. John Mandel, Emily",Literature,"A post-apocalyptic acting troupe proves mere survival to be insufficient. Wacky premise, meh book"
Halo: Contact Harvist,"Staten, Joseph",Science Fiction,Halo soldiers go pew pew pew
East of Eden,"Steinbeck, John",Literature,"Absolutely epic. Great characters and themes, re-read!"
Cryptonomicon,"Stephenson, Neil",Thriller,Code-breaking thriller. Adds tons of historic WWII detail into the modern day story
Quicksilver,"Stephenson, Neil",Fantasy,Enlightenment Yaoi harem fanfiction with occasional vagabond pirate interludes.
Snow Crash,"Stephenson, Neil",Science Fiction,"A fun read, but lacked substance-- a literary action movie."
Zodiac,"Stephenson, Neil",Thriller,Nice light thriller featuring boats and dumping in Boston harbor.
The Agony and the Ecstasy,"Stone, Irving",Historical Fiction,"Incredibe book on the life and art of Michaelangelo, pretty much a 750-page love letter to marble"
Ghost Story,"Straub, Peter",Horror,Okay ghost story. Old men haunted by ghosts of the past
This Divided Island,"Subramanian, Samanth",Historical Fiction,Account of the Sri Lankan civil war.
Sweet Bean Paste,"Sukegawa, Durian",Light Lit,Old lady with leoparsy teaches an ex-con to make Japanese sweets
Flight of the Eisenstein,"Swallow, James",Science Fiction,"pt 4 of Horus heresy, not as much fun as the others"
The Buried Dagger,"Swallow, James",WH40K,Events leading up to the siege of Terra
The Black Swan,"Taleb, Nassim Nicholas",Nonfiction,About the rare events that change everything. Extremistan and Mediocrastan
The Joy Luck Club,"Tan, Amy",Literature,Stories of Chinese refugees and their inability to connect with their kids
The Goldfinch,"Tartt, Donna",Literature,God bless Boris. Wonderful story about art theft and growing up
The Secret History,"Tartt, Donna",Literature,Owen Meany but literally every character is worse
The Fellowship of the Ring,"Tolkien, J R R",Fantasy,"Difinitive work of the genre, great read if you can get through it"
The Hobbit,"Tolkien, J R R",Fantasy,"Difinitive work of the genre, great read if you can get through it"
The Return of the King,"Tolkien, J R R",Fantasy,"Difinitive work of the genre, great read if you can get through it"
The Two Towers,"Tolkien, J R R",Fantasy,"Difinitive work of the genre, great read if you can get through it"
Anna Karenina,"Tolstoy, Leo",Literature,"Kitty & Levin OTP 4 ever, everyone else can piss off. Good characters, but about 200 pages too long."
Halo Kilo 6 Trilogy,"Traviss, Karen",Science Fiction,Spec ops Halo soldiers sell wepons to both sides in an alien war
The Adventures of Huckelberry Finn,"Twain, Mark",Literature,There's a reason it's a classic
Annhiliation,"Vandermeer, Jeff",Horror,If SCP wikia had a novella
Authority,"Vandermeer, Jeff",Horror,"Sequel to Annhiliation, kind of dull. There's a third book, but I never finished it because dullness"
A Fire Upon the Deep,"Vinge, Vernor",Science Fiction,"A blight starts taking over the galaxy, two kids and hive mind dog-packs gotta save 'em"
Breakfast of Champions,"Vonnegurt, Kurt",Literature,Absolutely wonderful novel about how silly life in America can be
Cat's Cradle,"Vonnegurt, Kurt",Literature,Absolutely wonderful novel about how silly life on Earth can be
Player Piano,"Vonnegurt, Kurt",Science Fiction,Dystopia novel about machines replacing humans at work. Good read
Slaughterhouse Five,"Vonnegurt, Kurt",Literature,Absolutely wonderful novel about how silly life can be.
Unfamiliar Fishes,"Vowell, Sarah",Nonfiction,Missionary takeover of Hawaii
Complexity,"Waldorp, M Mitchell",Nonfiction,Ocean's 11 of academics founds the scientific study of complex systems
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Walker, Matthew",Nonfiction,"Goddamnit get some sleep, now!"
So Far Gone,"Walter, Jess",Literature,Granpa Kinnick tried to resue his grandkids from alt-right nutjobs
Project Hail Mary,"Weir, Andrew",Science Fiction,The Martian but on the moon
The Martian,"Weir, Andrew",Science Fiction,"Very good, scientific survival story. Robinson Crusoe on Mars, space thriller."
The Intuitionist,"Whitehead, Colson",Literature,"This book is about elevators, but also not."
The Picture of Dorian Grey,"Wilde, Oscar",Literature,"Fun little read, wasn't a big fan of the characters"
Exactly,"Winchester, Simon",Nonfiction,History of precision engineering
Hot Water,"Wodehouse, PG",Light Lit,Geft doesn't want to become the American Ambassador to France
Joy in the Morning,"Woodhouse, P. G.",Light Lit,Hilarious pastoral screwball comedy. Reminded me of twelfth night
Black Boy,"Wright, Richard",Autobiography,"Indicative of the Harlem Renaissance, great book to get an idea of segregated America"
Diary of a void,"Yagi, Emi",Literature,Japanese woman pretends to be preggo to get out of work lmao
Kitchen,"Yoshimoto, Banana",Literature,Two short stories about losing people you love
Butter,"Yuzuki, Asako",Literature,A journalist learns to cook while interviewing a serial killer lady
Trust factor: The science of creating high-performance companies,"Zak, Paul J",Nonfiction,"Institutional trust is important not only in government, but in companies and leadership groups"
We,"Zamyatin, Yevgeny",Science Fiction,"Dystopian story that inspired a genre. I'll take a pink check, please!"
The Age of Surveilance Capitalism,"Zuboff, Shoshana",Nonfiction,An in-depth study of how capitalism forces companies to choose between ethics and staying competitive
Accelerando,"Stross, Charles",Science Fiction,"Carousel of Progress following the world's first IRL streamer, his children, and his cat aineko"
A madman dreams of Turing machines ,"Levin, Janna",Historical Fiction,"Turing and Gödel live parallel, tragic lives"
Beware of Chicken,Casualfarmer ,Light Lit,Mary sue self insert pastoral Minecraft fanfic
Rainbow's End,"Vinge, Verner",Science Fiction,"Robert Wu gets althezimers cured so hard he's a teenager again, but he can't write poems any more. "
Tress of the Emerald Sea,"Sanderson, Brandon",Fantasy,Phantom tollbooth about a practical pirate heroine
Tom's Crossing,"Danielewski, Mark Z",Literature,Two kids and a ghost save two horses through a mountain pass
That old ace in the hole,,Literature,
The thin man,,Thriller,
Practical deamonkeeping,,Light Lit,
